Column1.id,Column1.bedrooms,Column1.price
k_1517847449,1,1950
k_1517867360,1,1950
k_1517874578,1,1950
k_1517876522,1,1950
k_1517877372,1,1950
k_1517884216,1,1950
c_7207945680,2,1959
c_7225090376,1,1959
c_7208541039,3,1960
c_7216928910,1,1960
c_7199605302,1,1970
c_7209875241,1,1970
c_7220003567,1,1970
k_1513628001,1,1970
c_7191156740,3,1973
c_7217107909,1,1973
c_7189867199,2,1975
c_7191298853,1,1975
c_7191513737,1,1975
c_7192131171,1,1975
c_7192842245,1,1975
c_7194276011,1,1975
c_7195841287,1,1975
c_7196122496,2,1975
c_7196728409,1,1975
c_7197352259,1,1975
c_7197547258,1,1975
c_7197557353,1,1975
c_7198676141,1,1975
c_7199569472,1,1975
c_7201602876,2,1975
c_7202105584,1,1975
c_7202623941,3,1975
c_7202994746,1,1975
c_7204660004,1,1975
c_7205456643,2,1975
c_7205536152,1,1975
c_7205817510,1,1975
c_7206050407,1,1975
c_7208320051,1,1975
c_7208892525,2,1975
c_7212885437,1,1975
c_7213895611,1,1975
c_7213908374,1,1975
c_7213981877,1,1975
c_7214525545,1,1975
c_7214781920,2,1975
c_7216061572,1,1975
